Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Revenue,,,,,,,
1,US-2019-103800,2019-01-03,2019-01-07,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,Message Book_ Wirebound_ Four 5 1/2 X 4 Forms/Pg._ 200 Dupl. Sets/Book, 16.45,2,0.2,5.5512, 32.90,,,,,,,
2,US-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs, 3.54,2,0.8,-5.487, 7.08,,,,,,,
3,US-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508, 11.78,3,0.2,4.2717, 35.35,,,,,,Price Maximum,22638.48
4,US-2019-112326,2019-01-04,2019-01-08,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving, 272.74,3,0.2,-64.7748, 818.21,,,,,,,
5,US-2019-141817,2019-01-05,2019-01-12,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters_ 4/Pack, 19.54,3,0.2,4.884, 58.61,,,,,,Price Minimum,0.444
6,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Managers Chair, 2,573.82,9,0,746.4078, 23,164.38,,,,,,,
7,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener, 5.48,2,0,1.4796, 10.96,,,,,,Quantity Maximum,14
8,US-2019-106054,2019-01-06,2019-01-07,First Class,JO-15145,Jack OBriant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,Dixon Prang Watercolor Pencils_ 10-Color Set with Brush, 12.78,3,0,5.2398, 38.34,,,,,,,
9,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System, 609.98,2,0,274.491, 1,219.96,,,,,,Quantity Minimum,1
10,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,Alliance Super-Size Bands_ Assorted Sizes, 31.12,4,0,0.3112, 124.48,,,,,,,
11,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes, 6.54,1,0,3.0084, 6.54,,,,,,,
12,US-2019-130813,2019-01-06,2019-01-08,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225, 19.44,3,0,9.3312, 58.32,,,,,,,
13,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster, 755.96,4,0,204.1092, 3,023.84,,,,,,,
14,US-2019-167199,2019-01-06,2019-01-10,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4, 391.98,2,0,113.6742, 783.96,,,,,,,
15,US-2019-105417,2019-01-07,2019-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock, 76.73,3,0.6,-53.7096, 230.18,,,,,,,
16,US-2019-105417,2019-01-07,2019-01-12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,Acco Four Pocket Poly Ring Binder with Label Holder_ Smoke_ 1, 10.43,7,0.8,-18.2525, 73.01,,,,,,,
17,US-2019-135405,2019-01-09,2019-01-13,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312, 9.34,2,0.2,1.168, 18.69,,,,,,,
