Order ID,Order Date,Customer ID,Customer Name,Sales Person,Region,Product_Type,Price,Quantity
0009,2021/01/05,20,Company T,Andrew James,Arizona,Product 1,399,5
0012,2021/01/05,6,Company F,Laura Larsen,California,Product 1,399,6
0014,2021/01/05,4,Company D,Anna Weber,Texas,Product 1,399,4
0020,2021/01/07,5,Company E,Anna Weber,Texas,Product 1,399,3
0024,2021/01/07,12,Company L,Michael Fox,New Mexico,Product 1,399,2
0025,2021/01/08,3,Company C,Ben Wallace,Texas,Product 1,399,0
0028,2021/01/08,19,Company S,Andrew James,Arizona,Product 1,399,7
0032,2021/01/09,6,Company F,Laura Larsen,California,Product 1,399,3
0037,2021/01/11,13,Company M,Anne Lee,New Mexico,Product 1,399,4
0038,2021/01/12,20,Company T,Oscar Knox,Arizona,Product 1,399,3
0041,2021/01/13,9,Company I,Kim Fishman,California,Product 1,399,4
0044,2021/01/13,7,Company G,Laura Larsen,California,Product 1,399,5
0051,2021/01/13,19,Company S,Andrew James,Arizona,Product 1,399,6
0055,2021/01/15,7,Company G,Laura Larsen,California,Product 1,399,0
0059,2021/01/15,9,Company I,Kim Fishman,California,Product 1,399,7
0064,2021/01/18,9,Company I,Laura Larsen,California,Product 1,399,1
0072,2021/01/22,15,Company O,Anne Lee,New Mexico,Product 1,399,4
0081,2021/01/24,7,Company G,Laura Larsen,California,Product 1,399,6
0084,2021/01/25,18,Company R,Andrew James,Arizona,Product 1,399,1
0085,2021/01/26,4,Company D,Ben Wallace,Texas,Product 1,399,9
0086,2021/01/26,12,Company L,Michael Fox,New Mexico,Product 1,399,2
0092,2021/01/28,20,Company T,Oscar Knox,Arizona,Product 1,399,6
0093,2021/01/29,7,Company G,Kim Fishman,California,Product 1,399,1
0104,2021/02/02,4,Company D,Ben Wallace,Texas,Product 1,399,1
0108,2021/02/02,15,Company O,Anne Lee,New Mexico,Product 1,399,2
0111,2021/02/03,19,Company S,Andrew James,Arizona,Product 1,399,6
0112,2021/02/04,1,Company A,Anna Weber,Texas,Product 1,399,2
0113,2021/02/05,17,Company Q,Oscar Knox,Arizona,Product 1,399,5
0117,2021/02/05,14,Company N,Michael Fox,New Mexico,Product 1,399,7
0126,2021/02/08,18,Company R,Oscar Knox,Arizona,Product 1,399,4
0131,2021/02/11,10,Company J,Kim Fishman,California,Product 1,399,3
0133,2021/02/11,12,Company L,Michael Fox,New Mexico,Product 1,399,9
0137,2021/02/13,12,Company L,Anne Lee,New Mexico,Product 1,399,3
0138,2021/02/13,14,Company N,Anne Lee,New Mexico,Product 1,399,3
0140,2021/02/13,15,Company O,Anne Lee,New Mexico,Product 1,399,8
0148,2021/02/13,2,Company B,Ben Wallace,Texas,Product 1,399,2
0171,2021/02/19,8,Company H,Laura Larsen,California,Product 1,399,6
0173,2021/02/19,2,Company B,Ben Wallace,Texas,Product 1,399,1
0174,2021/02/19,6,Company F,Laura Larsen,California,Product 1,399,6
0185,2021/02/23,4,Company D,Ben Wallace,Texas,Product 1,399,5
0187,2021/02/24,17,Company Q,Oscar Knox,Arizona,Product 1,399,9
0189,2021/02/25,20,Company T,Oscar Knox,Arizona,Product 1,399,8
0192,2021/02/26,12,Company L,Anne Lee,New Mexico,Product 1,399,0
0206,2021/03/08,5,Company E,Ben Wallace,Texas,Product 1,399,6
0210,2021/03/08,14,Company N,Michael Fox,New Mexico,Product 1,399,8
0224,2021/03/11,9,Company I,Kim Fishman,California,Product 1,399,6
0225,2021/03/11,2,Company B,Anna Weber,Texas,Product 1,399,9
0226,2021/03/12,14,Company N,Michael Fox,New Mexico,Product 1,399,1
0227,2021/03/13,14,Company N,Michael Fox,New Mexico,Product 1,399,1
0230,2021/03/15,3,Company C,Anna Weber,Texas,Product 1,399,6
0232,2021/03/15,7,Company G,Laura Larsen,California,Product 1,399,9
0239,2021/03/16,16,Company P,Andrew James,Arizona,Product 1,399,9
0249,2021/03/18,19,Company S,Oscar Knox,Arizona,Product 1,399,3
0251,2021/03/18,2,Company B,Ben Wallace,Texas,Product 1,399,9
0253,2021/03/18,16,Company P,Oscar Knox,Arizona,Product 1,399,5
0258,2021/03/20,17,Company Q,Andrew James,Arizona,Product 1,399,5
0270,2021/03/25,14,Company N,Anne Lee,New Mexico,Product 1,399,9
0278,2021/03/26,6,Company F,Kim Fishman,California,Product 1,399,8
0297,2021/03/31,14,Company N,Michael Fox,New Mexico,Product 1,399,5
0301,2021/04/02,10,Company J,Kim Fishman,California,Product 1,399,9
0321,2021/04/12,9,Company I,Kim Fishman,California,Product 1,399,1
0325,2021/04/14,14,Company N,Anne Lee,New Mexico,Product 1,399,3
0330,2021/04/14,7,Company G,Laura Larsen,California,Product 1,399,8
0331,2021/04/14,10,Company J,Laura Larsen,California,Product 1,399,9
0333,2021/04/14,18,Company R,Oscar Knox,Arizona,Product 1,399,4
0338,2021/04/17,13,Company M,Michael Fox,New Mexico,Product 1,399,8
0350,2021/04/19,3,Company C,Anna Weber,Texas,Product 1,399,1
0353,2021/04/20,4,Company D,Anna Weber,Texas,Product 1,399,1
0355,2021/04/20,17,Company Q,Oscar Knox,Arizona,Product 1,399,6
0357,2021/04/21,3,Company C,Ben Wallace,Texas,Product 1,399,2
0359,2021/04/22,1,Company A,Ben Wallace,Texas,Product 1,399,5
0362,2021/04/22,5,Company E,Anna Weber,Texas,Product 1,399,2
0374,2021/04/25,5,Company E,Anna Weber,Texas,Product 1,399,3
0378,2021/04/25,11,Company K,Michael Fox,New Mexico,Product 1,399,3
0386,2021/04/28,3,Company C,Anna Weber,Texas,Product 1,399,2
0399,2021/05/03,5,Company E,Ben Wallace,Texas,Product 1,399,7
0403,2021/05/05,12,Company L,Anne Lee,New Mexico,Product 1,399,6
0417,2021/05/09,2,Company B,Anna Weber,Texas,Product 1,399,1
0432,2021/05/15,2,Company B,Anna Weber,Texas,Product 1,399,3
0442,2021/05/15,1,Company A,Anna Weber,Texas,Product 1,399,1
0447,2021/05/16,16,Company P,Andrew James,Arizona,Product 1,399,5
0453,2021/05/16,6,Company F,Laura Larsen,California,Product 1,399,3
0456,2021/05/17,3,Company C,Anna Weber,Texas,Product 1,399,7
0461,2021/05/18,7,Company G,Laura Larsen,California,Product 1,399,0
0462,2021/05/18,1,Company A,Anna Weber,Texas,Product 1,399,3
0463,2021/05/19,10,Company J,Kim Fishman,California,Product 1,399,9
0470,2021/05/20,14,Company N,Michael Fox,New Mexico,Product 1,399,9
0472,2021/05/22,5,Company E,Anna Weber,Texas,Product 1,399,3
0474,2021/05/23,18,Company R,Andrew James,Arizona,Product 1,399,3
0493,2021/05/26,9,Company I,Laura Larsen,California,Product 1,399,2
0507,2021/05/29,2,Company B,Ben Wallace,Texas,Product 1,399,9
0508,2021/05/29,19,Company S,Andrew James,Arizona,Product 1,399,6
0520,2021/06/03,18,Company R,Oscar Knox,Arizona,Product 1,399,7
0530,2021/06/03,16,Company P,Andrew James,Arizona,Product 1,399,7
0532,2021/06/04,11,Company K,Anne Lee,New Mexico,Product 1,399,8
0542,2021/06/08,9,Company I,Laura Larsen,California,Product 1,399,5
0545,2021/06/09,14,Company N,Anne Lee,New Mexico,Product 1,399,0
0553,2021/06/11,11,Company K,Michael Fox,New Mexico,Product 1,399,0
0556,2021/06/12,10,Company J,Laura Larsen,California,Product 1,399,0
0558,2021/06/13,14,Company N,Anne Lee,New Mexico,Product 1,399,9
0563,2021/06/16,13,Company M,Michael Fox,New Mexico,Product 1,399,0
0564,2021/06/16,15,Company O,Michael Fox,New Mexico,Product 1,399,6
0568,2021/06/16,14,Company N,Anne Lee,New Mexico,Product 1,399,0
0573,2021/06/19,20,Company T,Oscar Knox,Arizona,Product 1,399,5
0578,2021/06/21,14,Company N,Michael Fox,New Mexico,Product 1,399,9
0579,2021/06/22,7,Company G,Kim Fishman,California,Product 1,399,0
0582,2021/06/22,15,Company O,Anne Lee,New Mexico,Product 1,399,4
0583,2021/06/22,10,Company J,Laura Larsen,California,Product 1,399,3
0589,2021/06/24,5,Company E,Anna Weber,Texas,Product 1,399,3
0596,2021/06/26,11,Company K,Anne Lee,New Mexico,Product 1,399,9
0598,2021/06/28,10,Company J,Kim Fishman,California,Product 1,399,9
0607,2021/06/30,20,Company T,Oscar Knox,Arizona,Product 1,399,7
0618,2021/07/06,19,Company S,Andrew James,Arizona,Product 1,399,0
0625,2021/07/08,17,Company Q,Oscar Knox,Arizona,Product 1,399,8
0628,2021/07/08,14,Company N,Michael Fox,New Mexico,Product 1,399,5
0634,2021/07/11,5,Company E,Anna Weber,Texas,Product 1,399,0
0639,2021/07/13,16,Company P,Oscar Knox,Arizona,Product 1,399,3
0641,2021/07/14,10,Company J,Laura Larsen,California,Product 1,399,7
0642,2021/07/15,10,Company J,Laura Larsen,California,Product 1,399,9
0643,2021/07/15,13,Company M,Michael Fox,New Mexico,Product 1,399,8
0649,2021/07/17,8,Company H,Laura Larsen,California,Product 1,399,5
0664,2021/07/21,14,Company N,Anne Lee,New Mexico,Product 1,399,5
0665,2021/07/22,1,Company A,Anna Weber,Texas,Product 1,399,8
0669,2021/07/24,9,Company I,Kim Fishman,California,Product 1,399,6
0671,2021/07/24,13,Company M,Michael Fox,New Mexico,Product 1,399,1
0690,2021/07/27,5,Company E,Anna Weber,Texas,Product 1,399,5
0723,2021/08/08,8,Company H,Laura Larsen,California,Product 1,399,2
0730,2021/08/10,18,Company R,Andrew James,Arizona,Product 1,399,4
0731,2021/08/10,13,Company M,Michael Fox,New Mexico,Product 1,399,4
0735,2021/08/11,3,Company C,Ben Wallace,Texas,Product 1,399,0
0738,2021/08/12,8,Company H,Kim Fishman,California,Product 1,399,7
0745,2021/08/16,8,Company H,Kim Fishman,California,Product 1,399,0
0752,2021/08/19,8,Company H,Laura Larsen,California,Product 1,399,1
0753,2021/08/19,5,Company E,Anna Weber,Texas,Product 1,399,6
